Round,Driver,Position,Points,Location
1,Lewis Hamilton,1,25,Bahrain
1,Max Verstappen,2,18,Bahrain
2,Lewis Hamilton,2,19,Imola
2,Max Verstappen,1,25,Imola
3,Lewis Hamilton,1,25,Portugal
3,Max Verstappen,2,18,Portugal
4,Lewis Hamilton,1,25,Spain
4,Max Verstappen,2,19,Spain
5,Lewis Hamilton,7,7,Monaco
5,Max Verstappen,1,25,Monaco
6,Lewis Hamilton,15,0,Azerbaijan
6,Max Verstappen,18,0,Azerbaijan
7,Lewis Hamilton,2,18,France
7,Max Verstappen,1,26,France
8,Lewis Hamilton,2,19,Styria
8,Max Verstappen,1,25,Styria
9,Lewis Hamilton,4,12,Austria
9,Max Verstappen,1,26,Austria
10,Lewis Hamilton,1,25,Great Britain
10,Max Verstappen,20,0,Great Britain
11,Lewis Hamilton,2,18,Hungary
11,Max Verstappen,9,2,Hungary
12,Lewis Hamilton,3,7.5,Belgium
12,Max Verstappen,1,12.5,Belgium
13,Lewis Hamilton,2,19,Netherlands
13,Max Verstappen,1,25,Netherlands
14,Lewis Hamilton,17,0,Italy
14,Max Verstappen,18,0,Italy
15,Lewis Hamilton,1,25,Russia
15,Max Verstappen,2,18,Russia
16,Lewis Hamilton,5,10,Turkey
16,Max Verstappen,2,18,Turkey
17,Lewis Hamilton,2,19,USA
17,Max Verstappen,1,25,USA
18,Lewis Hamilton,2,18,Mexico
18,Max Verstappen,1,25,Mexico
19,Lewis Hamilton,1,25,Brazil
19,Max Verstappen,2,18,Brazil
20,Lewis Hamilton,1,25,Qatar
20,Max Verstappen,2,19,Qatar
21,Lewis Hamilton,1,26,Saudi Arabia
21,Max Verstappen,2,18,Saudi Arabia
22,Lewis Hamilton,2,18,Abu Dhabi
22,Max Verstappen,1,26,Abu Dhabi
